报告日,利率,涨跌
2006-10-08,2.9543,0.0
2006-10-09,2.9549,0.06
2006-10-10,2.9531,-0.18
2006-10-11,2.9559,0.28
2006-10-12,2.955,-0.09
2006-10-13,2.9543,-0.07
2006-10-16,2.9546,0.03
2006-10-17,2.955,0.04
2006-10-18,2.956,0.1
2006-10-19,2.9556,-0.04
2006-10-20,2.9553,-0.03
2006-10-23,2.9552,-0.01
2006-10-24,2.9552,0.0
2006-10-25,2.9552,0.0
2006-10-26,2.9552,0.0
2006-10-27,2.9556,0.04
2006-10-30,2.9554,-0.02
2006-10-31,2.9554,0.0
2006-11-01,2.9554,0.0
2006-11-02,2.9554,0.0
2006-11-03,2.9554,0.0
2006-11-06,2.9566,0.12
2006-11-07,2.9577,0.11
2006-11-08,2.9597,0.2
2006-11-09,2.9622,0.25
2006-11-10,2.9652,0.3
2006-11-13,2.9702,0.5
2006-11-14,2.9772,0.7
2006-11-15,2.9809,0.37
2006-11-16,2.9831,0.22
2006-11-17,2.9848,0.17
2006-11-20,2.986,0.12
2006-11-21,2.9912,0.52
2006-11-22,2.9939,0.27
2006-11-23,2.9955,0.16
2006-11-24,2.9968,0.13
2006-11-27,2.9976,0.08
2006-11-28,2.9984,0.08
2006-11-29,2.9992,0.08
2006-11-30,2.9996,0.04
2006-12-01,2.9998,0.02
2006-12-04,3.0001,0.03
2006-12-05,3.0006,0.05
2006-12-06,3.0008,0.02
2006-12-07,3.0008,0.0
2006-12-08,3.001,0.02
2006-12-11,3.0012,0.02
2006-12-12,3.0013,0.01
2006-12-13,3.0013,0.0
2006-12-14,3.0014,0.01
2006-12-15,3.0015,0.01
2006-12-18,3.0016,0.01
2006-12-19,3.0017,0.01
2006-12-20,3.0017,0.0
2006-12-21,3.0018,0.01
2006-12-22,3.0019,0.01
2006-12-25,3.0019,0.0
2006-12-26,3.002,0.01
2006-12-27,3.002,0.0
2006-12-28,3.002,0.0
2006-12-29,3.002,0.0
2006-12-30,3.0021,0.01
2006-12-31,3.0021,0.0
2007-01-04,3.0022,0.01
2007-01-05,3.0023,0.01
2007-01-08,3.0023,0.0
2007-01-09,3.0024,0.01
2007-01-10,3.0025,0.01
2007-01-11,3.0024,-0.01
2007-01-12,3.0024,0.0
2007-01-15,3.0024,0.0
2007-01-16,3.0024,0.0
2007-01-17,3.0024,0.0
2007-01-18,3.0024,0.0
2007-01-19,3.0024,0.0
2007-01-22,3.0024,0.0
2007-01-23,3.0024,0.0
2007-01-24,3.0024,0.0
2007-01-25,3.0025,0.01
2007-01-26,3.0025,0.0
2007-01-29,3.0025,0.0
2007-01-30,3.0025,0.0
2007-01-31,3.0025,0.0
2007-02-01,3.0025,0.0
2007-02-02,3.0025,0.0
2007-02-05,3.0025,0.0
2007-02-06,3.0025,0.0
2007-02-07,3.0025,0.0
2007-02-08,3.0025,0.0
2007-02-09,3.0025,0.0
2007-02-12,3.0026,0.01
2007-02-13,3.0026,0.0
2007-02-14,3.0027,0.01
2007-02-15,3.0027,0.0
2007-02-16,3.0027,0.0
2007-02-17,3.0027,0.0
2007-02-25,3.0028,0.01
2007-02-26,3.0028,0.0
2007-02-27,3.0028,0.0
2007-02-28,3.0028,0.0
2007-03-01,3.0028,0.0
2007-03-02,3.0028,0.0
2007-03-05,3.0028,0.0
2007-03-06,3.0028,0.0
2007-03-07,3.0028,0.0
2007-03-08,3.0028,0.0
2007-03-09,3.0028,0.0
2007-03-12,3.0028,0.0
2007-03-13,3.0151,1.23
2007-03-14,3.0302,1.51
2007-03-15,3.0455,1.53
2007-03-16,3.0533,0.78
2007-03-19,3.079,2.57
2007-03-20,3.0967,1.77
2007-03-21,3.1096,1.29
2007-03-22,3.1202,1.06
2007-03-23,3.1304,1.02
2007-03-26,3.1386,0.82
2007-03-27,3.1504,1.18
2007-03-28,3.1589,0.85
2007-03-29,3.1665,0.76
2007-03-30,3.1783,1.18
2007-04-02,3.1841,0.58
2007-04-03,3.188,0.39
2007-04-04,3.19,0.2
2007-04-05,3.1907,0.07
2007-04-06,3.1943,0.36
2007-04-09,3.1973,0.3
2007-04-10,3.2003,0.3
2007-04-11,3.2032,0.29
2007-04-12,3.2051,0.19
2007-04-13,3.2054,0.03
2007-04-16,3.2071,0.17
2007-04-17,3.2091,0.2
2007-04-18,3.2097,0.06
2007-04-19,3.2128,0.31
2007-04-20,3.2163,0.35
2007-04-23,3.219,0.27
2007-04-24,3.2213,0.23
2007-04-25,3.2232,0.19
2007-04-26,3.2225,-0.07
2007-04-27,3.2216,-0.09
2007-04-28,3.218,-0.36
2007-04-29,3.2157,-0.23
2007-04-30,3.2147,-0.1
2007-05-08,3.2142,-0.05
2007-05-09,3.2137,-0.05
2007-05-10,3.2152,0.15
2007-05-11,3.2172,0.2
2007-05-14,3.2186,0.14
2007-05-15,3.2193,0.07
2007-05-16,3.223,0.37
2007-05-17,3.222,-0.1
2007-05-18,3.2215,-0.05
2007-05-21,3.2614,3.99
2007-05-22,3.3003,3.89
2007-05-23,3.3322,3.19
2007-05-24,3.3608,2.86
2007-05-25,3.3722,1.14
2007-05-28,3.3848,1.26
2007-05-29,3.3914,0.66
2007-05-30,3.3954,0.4
2007-05-31,3.3985,0.31
2007-06-01,3.3993,0.08
2007-06-04,3.3999,0.06
2007-06-05,3.4028,0.29
2007-06-06,3.4043,0.15
2007-06-07,3.4073,0.3
2007-06-08,3.4088,0.15
2007-06-11,3.4098,0.1
2007-06-12,3.4112,0.14
2007-06-13,3.4139,0.27
2007-06-14,3.4167,0.28
2007-06-15,3.4202,0.35
2007-06-18,3.4202,0.0
2007-06-19,3.4203,0.01
2007-06-20,3.4214,0.11
2007-06-21,3.4246,0.32
2007-06-22,3.4286,0.4
2007-06-25,3.4307,0.21
2007-06-26,3.434,0.33
2007-06-27,3.4359,0.19
2007-06-28,3.4404,0.45
2007-06-29,3.4447,0.43
2007-07-02,3.4477,0.3
2007-07-03,3.4516,0.39
2007-07-04,3.4555,0.39
2007-07-05,3.4595,0.4
2007-07-06,3.4627,0.32
2007-07-09,3.4662,0.35
2007-07-10,3.4691,0.29
2007-07-11,3.4725,0.34
2007-07-12,3.4757,0.32
2007-07-13,3.477,0.13
2007-07-16,3.4811,0.41
2007-07-17,3.483,0.19
2007-07-18,3.4852,0.22
2007-07-19,3.486,0.08
2007-07-20,3.4866,0.06
2007-07-23,3.5429,5.63
2007-07-24,3.5659,2.3
2007-07-25,3.5786,1.27
2007-07-26,3.5861,0.75
2007-07-27,3.588,0.19
2007-07-30,3.5907,0.27
2007-07-31,3.5931,0.24
2007-08-01,3.597,0.39
2007-08-02,3.5992,0.22
2007-08-03,3.6011,0.19
2007-08-06,3.6013,0.02
2007-08-07,3.6009,-0.04
2007-08-08,3.6038,0.29
2007-08-09,3.6026,-0.12
2007-08-10,3.6016,-0.1
2007-08-13,3.6023,0.07
2007-08-14,3.6032,0.09
2007-08-15,3.6045,0.13
