报告日,利率,涨跌
2006-10-08,2.611,0.0
2006-10-09,2.6248,1.38
2006-10-10,2.6325,0.77
2006-10-11,2.6338,0.13
2006-10-12,2.638,0.42
2006-10-13,2.642,0.4
2006-10-16,2.6459,0.39
2006-10-17,2.6484,0.25
2006-10-18,2.6483,-0.01
2006-10-19,2.6483,0.0
2006-10-20,2.6482,-0.01
2006-10-23,2.648,-0.02
2006-10-24,2.6481,0.01
2006-10-25,2.648,-0.01
2006-10-26,2.6479,-0.01
2006-10-27,2.6479,0.0
2006-10-30,2.6479,0.0
2006-10-31,2.6479,0.0
2006-11-01,2.6479,0.0
2006-11-02,2.6479,0.0
2006-11-03,2.6479,0.0
2006-11-06,2.6557,0.78
2006-11-07,2.683,2.73
2006-11-08,2.7082,2.52
2006-11-09,2.7236,1.54
2006-11-10,2.7401,1.65
2006-11-13,2.7551,1.5
2006-11-14,2.7707,1.56
2006-11-15,2.775,0.43
2006-11-16,2.7764,0.14
2006-11-17,2.7774,0.1
2006-11-20,2.7825,0.51
2006-11-21,2.7895,0.7
2006-11-22,2.7916,0.21
2006-11-23,2.7952,0.36
2006-11-24,2.8028,0.76
2006-11-27,2.8018,-0.1
2006-11-28,2.8023,0.05
2006-11-29,2.8038,0.15
2006-11-30,2.8054,0.16
2006-12-01,2.8086,0.32
2006-12-04,2.809,0.04
2006-12-05,2.8096,0.06
2006-12-06,2.8093,-0.03
2006-12-07,2.8094,0.01
2006-12-08,2.8096,0.02
2006-12-11,2.8089,-0.07
2006-12-12,2.808,-0.09
2006-12-13,2.808,0.0
2006-12-14,2.8079,-0.01
2006-12-15,2.8073,-0.06
2006-12-18,2.8076,0.03
2006-12-19,2.8072,-0.04
2006-12-20,2.8066,-0.06
2006-12-21,2.8069,0.03
2006-12-22,2.807,0.01
2006-12-25,2.8072,0.02
2006-12-26,2.8073,0.01
2006-12-27,2.8076,0.03
2006-12-28,2.8079,0.03
2006-12-29,2.808,0.01
2006-12-30,2.8081,0.01
2006-12-31,2.8082,0.01
2007-01-04,2.8077,-0.05
2007-01-05,2.8079,0.02
2007-01-08,2.808,0.01
2007-01-09,2.8083,0.03
2007-01-10,2.8082,-0.01
2007-01-11,2.8081,-0.01
2007-01-12,2.8079,-0.02
2007-01-15,2.8078,-0.01
2007-01-16,2.8079,0.01
2007-01-17,2.8079,0.0
2007-01-18,2.808,0.01
2007-01-19,2.808,0.0
2007-01-22,2.8081,0.01
2007-01-23,2.8081,0.0
2007-01-24,2.8082,0.01
2007-01-25,2.8082,0.0
2007-01-26,2.8082,0.0
2007-01-29,2.8082,0.0
2007-01-30,2.8083,0.01
2007-01-31,2.8083,0.0
2007-02-01,2.8083,0.0
2007-02-02,2.8083,0.0
2007-02-05,2.8084,0.01
2007-02-06,2.8085,0.01
2007-02-07,2.8153,0.68
2007-02-08,2.8204,0.51
2007-02-09,2.8433,2.29
2007-02-12,2.8757,3.24
2007-02-13,2.8745,-0.12
2007-02-14,2.8772,0.27
2007-02-15,2.8792,0.2
2007-02-16,2.8727,-0.65
2007-02-17,2.865,-0.77
2007-02-25,2.8654,0.04
2007-02-26,2.8637,-0.17
2007-02-27,2.8616,-0.21
2007-02-28,2.8539,-0.77
2007-03-01,2.8468,-0.71
2007-03-02,2.8394,-0.74
2007-03-05,2.8332,-0.62
2007-03-06,2.8292,-0.4
2007-03-07,2.8247,-0.45
2007-03-08,2.8231,-0.16
2007-03-09,2.8217,-0.14
2007-03-12,2.8215,-0.02
2007-03-13,2.8211,-0.04
2007-03-14,2.8203,-0.08
2007-03-15,2.821,0.07
2007-03-16,2.8214,0.04
2007-03-19,2.8335,1.21
2007-03-20,2.8357,0.22
2007-03-21,2.8401,0.44
2007-03-22,2.8447,0.46
2007-03-23,2.848,0.33
2007-03-26,2.8499,0.19
2007-03-27,2.854,0.41
2007-03-28,2.8574,0.34
2007-03-29,2.8592,0.18
2007-03-30,2.861,0.18
2007-04-02,2.8643,0.33
2007-04-03,2.8643,0.0
2007-04-04,2.8652,0.09
2007-04-05,2.8656,0.04
2007-04-06,2.8695,0.39
2007-04-09,2.8779,0.84
2007-04-10,2.8822,0.43
2007-04-11,2.8873,0.51
2007-04-12,2.8894,0.21
2007-04-13,2.8904,0.1
2007-04-16,2.8932,0.28
2007-04-17,2.9016,0.84
2007-04-18,2.9049,0.33
2007-04-19,2.9379,3.3
2007-04-20,2.9532,1.53
2007-04-23,2.9651,1.19
2007-04-24,2.9721,0.7
2007-04-25,2.976,0.39
2007-04-26,2.9737,-0.23
2007-04-27,2.9745,0.08
2007-04-28,2.9685,-0.6
2007-04-29,2.9601,-0.84
2007-04-30,2.9574,-0.27
