报告日,利率,涨跌
2006-10-08,2.1184,0.0
2006-10-09,2.099,-1.94
2006-10-10,2.0922,-0.68
2006-10-11,2.0955,0.33
2006-10-12,2.0943,-0.12
2006-10-13,2.0889,-0.54
2006-10-16,2.0801,-0.88
2006-10-17,2.0746,-0.55
2006-10-18,2.0723,-0.23
2006-10-19,2.0667,-0.56
2006-10-20,2.0665,-0.02
2006-10-23,2.0573,-0.92
2006-10-24,2.0569,-0.04
2006-10-25,2.0592,0.23
2006-10-26,2.117,5.78
2006-10-27,2.1568,3.98
2006-10-30,2.16,0.32
2006-10-31,2.1885,2.85
2006-11-01,2.2023,1.38
2006-11-02,2.2057,0.34
2006-11-03,2.2055,-0.02
2006-11-06,2.2312,2.57
2006-11-07,2.3023,7.11
2006-11-08,2.4264,12.41
2006-11-09,2.5177,9.13
2006-11-10,2.6198,10.21
2006-11-13,2.8071,18.73
2006-11-14,3.6074,80.03
2006-11-15,3.5355,-7.19
2006-11-16,3.2292,-30.63
2006-11-17,3.1918,-3.74
2006-11-20,3.2645,7.27
2006-11-21,3.4289,16.44
2006-11-22,3.5158,8.69
2006-11-23,3.5399,2.41
2006-11-24,3.5101,-2.98
2006-11-27,3.205,-30.51
2006-11-28,2.7744,-43.06
2006-11-29,2.5547,-21.97
2006-11-30,2.4161,-13.86
2006-12-01,2.337,-7.91
2006-12-04,2.1803,-15.67
2006-12-05,2.1095,-7.08
2006-12-06,2.064,-4.55
2006-12-07,2.0063,-5.77
2006-12-08,1.9919,-1.44
2006-12-11,1.9914,-0.05
2006-12-12,1.9181,-7.33
2006-12-13,1.8931,-2.5
2006-12-14,1.8589,-3.42
2006-12-15,1.7777,-8.12
2006-12-18,1.7247,-5.3
2006-12-19,1.6566,-6.81
2006-12-20,1.613,-4.36
2006-12-21,1.6015,-1.15
2006-12-22,1.6311,2.96
2006-12-25,1.6123,-1.88
2006-12-26,1.6431,3.08
2006-12-27,1.7185,7.54
2006-12-28,1.7107,-0.78
2006-12-29,1.7203,0.96
2006-12-30,1.5651,-15.52
2006-12-31,1.5675,0.24
2007-01-04,1.431,-13.65
2007-01-05,1.4047,-2.63
2007-01-08,1.3721,-3.26
2007-01-09,1.3546,-1.75
2007-01-10,1.3519,-0.27
2007-01-11,1.3344,-1.75
2007-01-12,1.3051,-2.93
2007-01-15,1.2997,-0.54
2007-01-16,1.2809,-1.88
2007-01-17,1.3171,3.62
2007-01-18,1.4236,10.65
2007-01-19,1.4126,-1.1
2007-01-22,1.4197,0.71
2007-01-23,1.5972,17.75
2007-01-24,1.7079,11.07
2007-01-25,1.7541,4.62
2007-01-26,1.7889,3.48
2007-01-29,1.783,-0.59
2007-01-30,1.7838,0.08
2007-01-31,1.778,-0.58
2007-02-01,1.7602,-1.78
2007-02-02,1.7549,-0.53
2007-02-05,1.7593,0.44
2007-02-06,1.7848,2.55
2007-02-07,1.8392,5.44
2007-02-08,1.8983,5.91
2007-02-09,2.7851,88.68
2007-02-12,4.0016,121.65
2007-02-13,3.3685,-63.31
2007-02-14,4.0174,64.89
2007-02-15,3.0934,-92.4
2007-02-16,1.994,-109.94
2007-02-17,1.5143,-47.97
2007-02-25,1.8147,30.04
2007-02-26,1.792,-2.27
2007-02-27,1.6928,-9.92
2007-02-28,1.6526,-4.02
2007-03-01,1.5903,-6.23
2007-03-02,1.5194,-7.09
2007-03-05,1.4999,-1.95
2007-03-06,1.4683,-3.16
2007-03-07,1.4375,-3.08
2007-03-08,1.4153,-2.22
2007-03-09,1.3952,-2.01
2007-03-12,1.38,-1.52
2007-03-13,1.3643,-1.57
2007-03-14,1.3535,-1.08
2007-03-15,1.3513,-0.22
2007-03-16,1.4088,5.75
2007-03-19,1.5313,12.25
2007-03-20,1.5551,2.38
2007-03-21,1.6077,5.26
2007-03-22,1.6487,4.1
