融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
233.69,7448.64,2.78,29.85,249.76,7698.4
265.21,7470.29,3.07,29.64,251.39,7721.69
208.7,7470.24,2.74,29.74,246.51,7716.75
220.43,7486.71,3.0,29.63,246.21,7732.93
218.98,7499.56,2.64,29.17,242.32,7741.89
239.5,7498.11,2.45,29.19,246.16,7744.27
233.95,7547.85,2.5,29.07,248.66,7796.51
265.9,7536.97,2.78,29.06,250.56,7787.54
297.08,7526.46,2.73,28.76,249.73,7776.19
317.11,7496.72,2.7,28.83,251.74,7748.46
351.44,7527.37,3.17,29.75,257.33,7784.7
209.83,7516.14,3.02,29.82,251.16,7767.3
209.01,7511.05,2.03,29.39,248.57,7759.62
212.39,7520.33,2.17,29.24,251.78,7772.12
270.56,7516.88,2.54,29.14,250.08,7766.96
264.32,7565.63,2.48,29.17,254.54,7820.17
217.24,7554.57,2.38,29.08,252.45,7807.02
220.91,7573.3,2.4,29.17,263.85,7837.16
231.35,7568.12,2.12,29.03,264.22,7832.34
266.59,7578.11,2.43,29.13,269.8,7847.92
273.44,7595.07,2.15,28.82,269.97,7865.04
294.74,7612.09,2.21,28.81,268.06,7880.15
322.35,7605.9,2.0,28.77,269.24,7875.15
356.46,7588.53,1.91,29.17,272.37,7860.9
347.69,7565.44,2.02,29.82,272.53,7837.98
305.61,7585.44,1.93,30.01,270.07,7855.52
314.69,7585.46,2.4,30.1,271.0,7856.46
318.16,7585.95,2.04,29.65,266.01,7851.97
354.9,7590.95,1.9,29.57,269.17,7860.12
344.86,7585.24,2.33,30.02,274.92,7860.17
278.54,7586.99,2.47,30.55,280.76,7867.76
313.68,7607.41,1.99,30.25,282.84,7890.25
297.55,7591.36,1.99,30.19,284.9,7876.26
304.8,7586.42,2.35,30.23,282.27,7868.7
322.59,7580.91,2.33,30.13,281.73,7862.64
353.7,7608.9,2.28,30.22,285.55,7894.45
385.15,7602.27,2.22,30.25,281.47,7883.75
455.92,7599.18,2.43,30.51,287.62,7886.81
432.15,7586.08,2.27,30.43,288.59,7874.67
351.1,7537.8,2.2,30.92,292.79,7830.6
382.54,7540.21,2.82,31.11,295.07,7835.29
486.63,7528.23,2.51,30.49,299.51,7827.75
418.28,7503.92,2.19,30.42,296.25,7800.18
396.28,7473.51,2.22,30.51,296.95,7770.47
346.76,7442.15,2.41,30.69,294.07,7736.22
423.38,7451.68,2.42,30.54,297.15,7748.83
486.5,7443.3,2.78,30.31,295.88,7739.18
464.07,7401.52,2.62,29.56,292.32,7693.84
476.38,7366.7,2.39,28.97,291.3,7658.0
329.29,7333.64,2.38,29.51,292.96,7626.61
296.88,7343.98,2.07,30.24,297.31,7641.29
312.88,7348.09,2.0,30.35,303.14,7651.23
381.53,7336.17,2.03,30.62,308.56,7644.74
446.83,7315.57,1.99,30.57,309.27,7624.84
407.41,7265.03,2.44,30.99,311.1,7576.14
350.96,7266.55,2.81,30.91,305.56,7572.12
340.53,7261.28,2.58,30.38,303.85,7565.14
306.53,7252.06,2.28,30.34,302.12,7554.19
272.21,7238.55,2.42,30.31,296.3,7534.85
264.39,7252.42,2.02,30.19,301.44,7553.87
307.78,7283.12,1.94,30.9,311.25,7594.37
315.98,7305.69,2.05,30.88,314.96,7620.65
297.82,7318.78,1.74,30.7,318.17,7636.95
357.44,7310.8,1.85,30.71,318.16,7628.97
362.35,7288.56,1.71,30.87,323.31,7611.87
382.1,7297.16,1.92,30.64,323.27,7620.43
385.06,7268.97,2.18,30.38,316.35,7585.33
347.07,7230.05,1.85,29.72,307.89,7537.94
359.27,7196.61,1.79,29.14,301.84,7498.46
272.7,7138.36,1.0,28.56,296.51,7434.88
298.21,7225.25,1.61,30.23,310.34,7535.59
264.29,7213.61,1.7,31.01,316.03,7529.65
295.98,7214.79,1.96,31.16,317.29,7532.08
314.92,7192.86,2.1,31.16,321.46,7514.33
208.74,7184.01,2.01,31.53,313.92,7497.93
200.88,7179.95,1.98,31.91,316.42,7496.38
223.71,7179.69,2.11,32.11,321.83,7501.53
260.64,7177.47,2.38,32.17,326.41,7503.88
271.41,7167.32,2.2,32.36,326.89,7494.22
259.16,7163.79,2.71,32.9,331.65,7495.44
294.81,7148.39,2.35,32.72,331.78,7480.18
326.81,7130.2,2.43,32.48,335.03,7465.23
430.35,7082.8,2.77,32.34,335.12,7417.93
235.78,6947.19,2.34,32.0,331.46,7278.65
245.73,6970.5,2.55,32.33,331.06,7301.57
261.31,6980.9,3.07,32.1,336.15,7317.05
264.15,6975.92,2.19,31.38,330.7,7306.62
280.93,6969.98,2.29,31.47,335.37,7305.36
229.43,6955.18,2.2,31.64,334.43,7289.62
253.52,6978.8,2.7,31.76,341.37,7320.18
337.25,6991.03,2.82,31.65,343.38,7334.41
350.54,6985.1,3.57,31.69,341.68,7326.78
392.23,6981.81,3.66,31.27,330.1,7311.91
218.05,6950.01,3.17,30.53,318.16,7268.17
244.23,7002.42,2.48,29.88,326.61,7329.03
217.83,7018.57,2.24,29.49,321.8,7340.37
261.09,7031.12,2.25,29.4,326.05,7357.17
192.95,7031.21,2.03,29.39,318.9,7350.12
226.95,7045.17,2.09,29.48,322.03,7367.21
356.52,6835.09,1.69,30.29,338.3,7173.4
471.47,6808.68,1.46,30.11,342.28,7150.96
267.58,6708.52,1.11,30.16,341.6,7050.13
257.19,6806.29,1.35,31.0,349.92,7156.21
226.94,6820.58,1.25,31.19,350.44,7171.02
253.19,6831.11,1.27,31.55,355.44,7186.56
334.0,6830.21,1.66,31.93,361.43,7191.65
244.89,6832.18,1.42,32.43,364.91,7197.1
243.31,6852.34,1.41,32.37,366.15,7218.5
268.09,6859.25,1.49,32.38,367.61,7226.87
271.16,6862.11,1.65,32.4,372.28,7234.4
282.37,6866.29,1.47,32.3,369.48,7235.78
307.04,6858.04,1.71,32.25,366.91,7224.96
325.67,6874.27,1.72,32.35,365.17,7239.45
268.46,6861.14,1.76,32.24,367.76,7228.91
278.45,6851.52,1.74,32.15,384.29,7235.82
172.55,6819.96,1.78,32.38,383.98,7203.95
187.32,6856.87,1.85,32.38,380.77,7237.64
206.53,6865.11,1.95,32.04,370.51,7235.62
227.54,6880.02,2.05,31.45,364.54,7244.57
218.26,6890.38,1.66,30.93,352.61,7243.0
185.39,6883.82,1.82,31.17,344.0,7227.82
214.38,6914.36,1.79,30.92,343.86,7258.22
184.67,6941.07,2.03,30.66,346.35,7287.42
209.27,6962.43,1.91,30.33,342.61,7305.04
270.83,6964.38,2.06,30.73,349.92,7314.31
269.18,6970.7,1.77,30.6,352.45,7323.15
293.28,6994.21,1.82,30.59,356.14,7350.36
291.59,6975.89,2.19,30.47,349.34,7325.23
301.51,6982.36,1.94,29.94,347.36,7329.72
330.72,6973.76,1.44,29.72,349.1,7322.87
342.55,6954.29,1.67,29.93,357.47,7311.77
319.52,6970.02,1.77,29.99,359.44,7329.46
374.78,6970.72,1.75,29.87,358.35,7329.08
379.11,6954.67,1.64,29.85,355.23,7309.9
401.02,6947.05,1.97,29.83,353.18,7300.24
314.63,6916.44,1.5,29.84,357.02,7273.46
387.94,6925.56,2.31,31.33,375.15,7300.71
337.63,6929.33,2.74,31.27,374.28,7303.61
346.15,6922.79,2.6,30.93,374.84,7297.63
247.06,6913.58,1.83,30.8,371.19,7284.78
234.05,6920.05,1.93,31.05,378.64,7298.7
270.89,6954.68,1.75,31.23,383.69,7338.37
289.65,6946.3,2.14,31.22,384.34,7330.65
323.33,6943.41,2.24,31.38,390.04,7333.46
326.87,6940.78,1.79,30.94,395.15,7335.93
392.05,6904.56,2.18,31.31,401.11,7305.68
358.02,6910.88,2.19,31.65,411.07,7321.95
369.15,6897.25,1.99,31.44,410.07,7307.32
415.4,6879.92,2.52,31.76,413.85,7293.78
380.84,6865.25,2.0,31.3,398.47,7263.73
464.38,6863.44,2.6,31.74,401.06,7264.51
313.54,6887.68,2.31,31.42,386.11,7273.8
309.89,6879.24,2.17,30.86,379.75,7258.99
323.4,6859.94,1.89,30.5,381.31,7241.26
399.44,6829.29,1.9,30.32,379.81,7209.11
448.82,6806.77,2.65,30.54,383.66,7190.43
335.1,6795.21,1.75,30.62,379.15,7174.37
388.33,6774.1,2.43,31.74,383.04,7157.15
336.98,6767.68,2.99,31.71,379.24,7146.92
275.74,6740.8,2.25,31.01,368.65,7109.46
273.67,6725.88,3.09,35.29,365.82,7091.71
315.23,6777.71,2.38,34.24,370.11,7147.83
319.47,6776.83,3.14,34.0,365.45,7142.28
247.49,6755.64,4.01,34.06,360.17,7115.82
285.64,6748.34,2.97,32.32,360.22,7108.56
189.21,6730.25,4.74,31.49,365.99,7096.24
231.8,6746.49,3.68,28.56,366.94,7113.43
228.37,6750.23,3.08,26.72,365.73,7115.97
250.2,6744.53,2.07,25.37,369.11,7113.65
245.74,6729.67,1.48,24.58,360.1,7089.77
267.09,6719.2,1.81,24.73,358.36,7077.57
202.65,6733.77,1.9,24.75,346.17,7079.95
207.25,6734.24,1.98,24.31,342.21,7076.45
140.96,6726.94,1.64,24.11,326.79,7053.74
158.63,6730.45,1.67,23.89,319.52,7049.98
124.99,6729.39,1.61,23.76,326.92,7056.31
155.41,6810.41,1.51,24.24,340.02,7150.44
163.28,6828.83,1.62,24.44,343.98,7172.81
179.91,6859.55,1.64,24.49,355.49,7215.05
164.22,6868.32,1.59,24.74,352.35,7220.68
178.67,6898.17,1.53,25.25,357.07,7255.25
180.48,6930.99,1.55,25.37,361.5,7292.5
174.79,6940.0,1.67,25.42,364.02,7304.02
194.7,6934.38,1.65,25.36,367.96,7302.34
172.52,6932.13,1.75,25.33,361.8,7293.94
215.84,6942.01,1.89,25.29,363.02,7305.04
275.88,6968.64,2.21,25.21,366.68,7335.33
219.57,6996.99,1.48,24.63,371.34,7368.33
223.96,6996.86,1.53,24.64,373.8,7370.67
229.71,6994.44,1.44,24.54,372.99,7367.44
236.62,7022.48,1.44,25.0,376.98,7399.46
271.08,7024.15,1.85,24.96,380.97,7405.12
274.23,7010.18,1.87,24.66,373.04,7383.23
213.17,6996.61,1.82,24.57,369.27,7365.89
203.24,6988.95,1.82,24.39,366.42,7355.38
207.24,7007.61,1.96,24.29,366.52,7374.13
273.67,7029.16,1.99,24.11,370.9,7400.07
239.28,7079.41,1.84,24.39,377.34,7456.76
349.47,7724.13,1.03,21.2,341.22,8065.36
272.69,7686.24,1.1,21.77,345.38,8031.62
324.08,7701.77,0.97,22.15,350.88,8052.66
274.05,7698.04,0.98,22.05,346.83,8044.88
265.38,7681.0,0.98,21.97,344.88,8025.89
285.83,7684.6,1.0,21.97,339.6,8024.2
307.09,7681.61,0.98,22.04,341.64,8023.25
